core,operator,expressions,date,-,minute
core,operator,expressions,date,-,month
core,operator,expressions,date,-,second
core,operator,expressions,date,-,week
core,operator,expressions,date,-,year
core,operator,expressions,misc,-,binarySize
core,operator,expressions,misc,-,bsonSize
core,operator,expressions,misc,-,getField
core,operator,expressions,misc,-,rand
core,operator,expressions,misc,-,sampleRate
core,operator,expressions,misc,-,toHashedIndexKey
core,operator,expressions,object,-,mergeObjects
core,operator,expressions,object,-,setField
core,operator,expressions,object,-,unsetField
core,operator,expressions,set,-,allElementsTrue
core,operator,expressions,set,-,anyElementTrue
core,operator,expressions,set,-,setDifference
core,operator,expressions,set,-,setEquals
core,operator,expressions,set,-,setIntersection
core,operator,expressions,set,-,setIsSubset
core,operator,expressions,string,-,concat
core,operator,expressions,string,-,indexOfBytes
core,operator,expressions,string,-,indexOfCP
core,operator,expressions,string,-,ltrim
core,operator,expressions,string,-,regexFind
core,operator,expressions,string,-,regexFindAll
core,operator,expressions,string,-,regexMatch
core,operator,expressions,string,-,replaceAll
core,operator,expressions,string,-,replaceOne
core,operator,expressions,string,-,rtrim
core,operator,expressions,string,-,split
core,operator,expressions,string,-,strcasecmp
core,operator,expressions,string,-,strLenBytes
core,operator,expressions,string,-,strLenCP
core,operator,expressions,string,-,substr
core,operator,expressions,string,-,substrBytes
core,operator,expressions,string,-,substrCP
core,operator,expressions,string,-,toLower
core,operator,expressions,string,-,toString
core,operator,expressions,string,-,toUpper
core,operator,expressions,string,-,trim
core,operator,expressions,timestamp,-,tsIncrement
core,operator,expressions,timestamp,-,tsSecond
core,operator,expressions,trigonometry,-,acos
core,operator,expressions,trigonometry,-,acosh
core,operator,expressions,trigonometry,-,asin
core,operator,expressions,trigonometry,-,asinh
core,operator,expressions,trigonometry,-,atan
core,operator,expressions,trigonometry,-,atan2
core,operator,expressions,trigonometry,-,atanh
core,operator,expressions,trigonometry,-,cos
core,operator,expressions,trigonometry,-,cosh
core,operator,expressions,trigonometry,-,degreesToRadians
core,operator,expressions,trigonometry,-,radiansToDegrees
core,operator,expressions,trigonometry,-,sin
core,operator,expressions,trigonometry,-,sinh
core,operator,expressions,trigonometry,-,tan
core,operator,expressions,trigonometry,-,tanh
core,operator,expressions,type,-,convert
core,operator,expressions,type,-,isNumber
core,operator,expressions,type,-,toBool
core,operator,expressions,type,-,toDecimal
core,operator,expressions,type,-,toDouble
core,operator,expressions,type,-,toInt
core,operator,expressions,type,-,toLong
core,operator,expressions,type,-,toObjectId
core,operator,expressions,type,-,toUUID
core,operator,expressions,type,-,toDate
core,operator,expressions,type,-,type
core,operator,expressions,variable,-,let
core,operator,projection,-,-,elemMatch
core,operator,projection,-,-,positional
core,operator,projection,-,-,slice
core,operator,query,-,-,text
core,operator,query,arrays,-,all
core,operator,query,arrays,-,elemMatch
core,operator,query,arrays,-,size
core,operator,query,bitwise,-,bitsAllClear
core,operator,query,bitwise,-,bitsAllSet
core,operator,query,bitwise,-,bitsAnyClear
core,operator,query,bitwise,-,bitsAnySet
core,operator,query,comparison,-,eq
core,operator,query,comparison,-,gt
core,operator,query,comparison,-,gte
core,operator,query,comparison,-,in
core,operator,query,comparison,-,lt
core,operator,query,comparison,-,lte
core,operator,query,comparison,-,ne
core,operator,query,comparison,-,nin
core,operator,query,geospatial,-,geoIntersects
core,operator,query,geospatial,-,geoWithin
core,operator,query,geospatial,-,near
core,operator,query,geospatial,-,nearSphere
core,operator,query,geospatial,specifiers,box
core,operator,query,geospatial,specifiers,center
core,operator,query,geospatial,specifiers,centerSphere
core,operator,query,geospatial,specifiers,geometry
core,operator,query,geospatial,specifiers,maxDistance
core,operator,query,geospatial,specifiers,minDistance
core,operator,query,geospatial,specifiers,polygon
core,operator,query,logical,-,and
core,operator,query,logical,-,nor
core,operator,query,logical,-,not
core,operator,query,logical,-,or
core,operator,query,misc,-,exists
core,operator,query,misc,-,expr
core,operator,query,misc,-,jsonSchema
core,operator,query,misc,-,mod
core,operator,query,misc,-,regex
core,operator,query,misc,-,type
core,operator,query,misc,-,where
core,operator,stages,-,-,addFields
core,operator,stages,-,-,bucket
core,operator,stages,-,-,bucketAuto
core,operator,stages,-,-,changeStreamSplitLargeEvent
core,operator,stages,-,-,collStats
core,operator,stages,-,-,count
core,operator,stages,-,-,densify
core,operator,stages,-,-,facet
core,operator,stages,-,-,fill
core,operator,stages,-,-,geoNear
core,operator,stages,-,-,graphLookup
core,operator,stages,-,-,group
core,operator,stages,-,-,indexStats
core,operator,stages,-,-,limit
core,operator,stages,-,-,listClusterCatalog
core,operator,stages,-,-,listSampledQueries
core,operator,stages,-,-,listSearchIndexes
core,operator,stages,-,-,listSessions
core,operator,stages,-,-,lookup
core,operator,stages,-,-,match
core,operator,stages,-,-,merge
core,operator,stages,-,-,out
core,operator,stages,-,-,planCacheStats
core,operator,stages,-,-,project
core,operator,stages,-,-,querySettings
core,operator,stages,-,-,queryStats
core,operator,stages,-,-,rankFusion
core,operator,stages,-,-,redact
core,operator,stages,-,-,replaceRoot
core,operator,stages,-,-,replaceWith
core,operator,stages,-,-,sample
core,operator,stages,-,-,search
core,operator,stages,-,-,searchMeta
core,operator,stages,-,-,set
core,operator,stages,-,-,setWindowFields
core,operator,stages,-,-,skip
core,operator,stages,-,-,sort
core,operator,stages,-,-,sortByCount
core,operator,stages,-,-,unionWith
core,operator,stages,-,-,unset
core,operator,stages,-,-,unwind
core,operator,stages,-,-,vectorSearch
core,operator,system-stages,-,-,changeStream
core,operator,system-stages,-,-,currentOp
core,operator,system-stages,-,-,documents
core,operator,system-stages,-,-,listLocalSessions
core,operator,update,array,-,addToSet
core,operator,update,array,-,pop
core,operator,update,array,-,positional
core,operator,update,array,-,positional-all
core,operator,update,array,-,positional-filtered
core,operator,update,array,-,pull
core,operator,update,array,-,pullAll
core,operator,update,array,-,push
core,operator,update,bitwise,-,bit
core,operator,update,fields,-,currentDate
core,operator,update,fields,-,inc
core,operator,update,fields,-,max
core,operator,update,fields,-,min
core,operator,update,fields,-,mul
core,operator,update,fields,-,rename
core,operator,update,fields,-,set
core,operator,update,fields,-,setOnInsert
core,operator,update,fields,-,unset
core,operator,update,modifiers,-,each
core,operator,update,modifiers,-,position
core,operator,update,modifiers,-,slice
core,operator,update,modifiers,-,sort
core,operator,window,-,-,addToSet
core,operator,window,-,-,avg
core,operator,window,-,-,bottom
core,operator,window,-,-,bottomN
core,operator,window,-,-,count
core,operator,window,-,-,covariancePop
core,operator,window,-,-,covarianceSamp
core,operator,window,-,-,denseRank
core,operator,window,-,-,derivative
core,operator,window,-,-,documentNumber
core,operator,window,-,-,expMovingAvg
core,operator,window,-,-,first
core,operator,window,-,-,integral
core,operator,window,-,-,last
core,operator,window,-,-,linearFill
core,operator,window,-,-,locf
core,operator,window,-,-,max
core,operator,window,-,-,maxN
core,operator,window,-,-,min
core,operator,window,-,-,minN
core,operator,window,-,-,push
core,operator,window,-,-,rank
core,operator,window,-,-,shift
core,operator,window,-,-,stdDevPop
core,operator,window,-,-,stdDevSamp
core,operator,window,-,-,sum
core,operator,window,-,-,top
core,operator,window,-,-,topN
core,query-and-write,-,-,-,read-concern
core,query-and-write,-,-,-,write-concern
core,query-and-write,commands,-,-,bulkWrite
core,query-and-write,commands,-,-,delete
core,query-and-write,commands,-,-,find
core,query-and-write,commands,-,-,findAndModify
core,query-and-write,commands,-,-,insert
core,query-and-write,commands,-,-,update
core,query-planning,commands,-,-,planCacheClear
core,query-planning,commands,-,-,planCacheClearFilters
core,query-planning,commands,-,-,planCacheListFilters
core,query-planning,commands,-,-,planCacheSetFilter
core,query-planning,commands,-,-,removeQuerySettings
core,query-planning,commands,-,-,setQuerySettings
core,sessions,commands,-,-,abortTransaction
core,sessions,commands,-,-,commitTransaction
core,sessions,commands,-,-,endSessions
core,sessions,commands,-,-,killAllSessions
core,sessions,commands,-,-,killAllSessionsByPattern
core,sessions,commands,-,-,killSessions
core,sessions,commands,-,-,refreshSessions
core,sessions,commands,-,-,startSession
system,administration,commands,-,-,autoCompact
system,administration,commands,-,-,compactStructuredEncryptionData
system,administration,commands,-,-,currentOp
system,administration,commands,-,-,dropConnections
system,administration,commands,-,-,filemd5
system,administration,commands,-,-,fsync
system,administration,commands,-,-,fsyncUnlock
system,administration,commands,-,-,getClusterParameter
system,administration,commands,-,-,getDefaultRWConcern
system,administration,commands,-,-,getParameter
system,administration,commands,-,-,killOp
system,administration,commands,-,-,logRotate
system,administration,commands,-,-,rotateCertificates
system,administration,commands,-,-,setClusterParameter
system,administration,commands,-,-,setDefaultRWConcern
system,administration,commands,-,-,setFeatureCompatibilityVersion
system,administration,commands,-,-,setIndexCommitQuorum
system,administration,commands,-,-,setParameter
system,administration,commands,-,-,setUserWriteBlockMode
system,administration,commands,-,-,shutdown
system,changeStreams,-,-,-,create
system,changeStreams,-,-,-,createIndexes
system,changeStreams,-,-,-,delete
system,changeStreams,-,-,-,drop
system,changeStreams,-,-,-,dropDatabase
system,changeStreams,-,-,-,dropIndexes
system,changeStreams,-,-,-,insert
system,changeStreams,-,-,-,invalidate
system,changeStreams,-,-,-,modify
system,changeStreams,-,-,-,refineCollectionShardKey
system,changeStreams,-,-,-,rename
system,changeStreams,-,-,-,replace
system,changeStreams,-,-,-,reshardCollection
system,changeStreams,-,-,-,shardCollection
system,changeStreams,-,-,-,update
system,diagnostic,commands,-,-,buildInfo
system,diagnostic,commands,-,-,collStats
system,diagnostic,commands,-,-,connectionStatus
system,diagnostic,commands,-,-,connPoolStats
system,diagnostic,commands,-,-,dataSize
system,diagnostic,commands,-,-,dbHash
system,diagnostic,commands,-,-,dbStats
system,diagnostic,commands,-,-,explain
system,diagnostic,commands,-,-,getCmdLineOpts
system,diagnostic,commands,-,-,getLog
system,diagnostic,commands,-,-,hostInfo
system,diagnostic,commands,-,-,listCommands
system,diagnostic,commands,-,-,lockInfo
system,diagnostic,commands,-,-,ping
system,diagnostic,commands,-,-,profile
system,diagnostic,commands,-,-,serverStatus
system,diagnostic,commands,-,-,top
system,diagnostic,commands,-,-,validate
system,diagnostic,commands,-,-,whatsmyuri
system,replication,commands,-,-,appendOplogNote
system,replication,commands,-,-,applyOps
system,replication,commands,-,-,hello
system,replication,commands,-,-,replSetAbortPrimaryCatchUp
system,replication,commands,-,-,replSetFreeze
system,replication,commands,-,-,replSetGetConfig
system,replication,commands,-,-,replSetGetStatus
system,replication,commands,-,-,replSetInitiate
system,replication,commands,-,-,replSetMaintenance
system,replication,commands,-,-,replSetReconfig
system,replication,commands,-,-,replSetResizeOplog
system,replication,commands,-,-,replSetStepDown
system,replication,commands,-,-,replSetSyncFrom
system,security,-,-,-,encryption
system,security,auditing,commands,-,logApplicationMessage
system,security,authentication,commands,-,authenticate
system,security,authentication,commands,-,logout
system,security,authorization,role,commands,createRole
system,security,authorization,role,commands,dropAllRolesFromDatabase
system,security,authorization,role,commands,dropRole
system,security,authorization,role,commands,grantPrivilegesToRole
system,security,authorization,role,commands,grantRolesToRole
system,security,authorization,role,commands,invalidateUserCache
system,security,authorization,role,commands,revokePrivilegesFromRole
system,security,authorization,role,commands,revokeRolesFromRole
system,security,authorization,role,commands,rolesInfo
system,security,authorization,role,commands,updateRole
system,security,authorization,user,commands,createUser
system,security,authorization,user,commands,dropAllUsersFromDatabase
system,security,authorization,user,commands,dropUser
system,security,authorization,user,commands,grantRolesToUser
system,security,authorization,user,commands,revokeRolesFromUser
system,security,authorization,user,commands,updateUser
system,security,authorization,user,commands,usersInfo

